 name:     cobalt                                                 Feff 8.10
 formula:  Co
 sites:    Co1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   metal, hexagonal close packed (hcp)
 Abs   Z=27 Rmt= 1.331 Rnm= 1.367 K  shell
 Pot 1 Z=27 Rmt= 1.340 Rnm= 1.378
 Gam_ch=1.436E+00 H-L exch
 Mu=-5.188E+00 kf=2.078E+00 Vint=-2.163E+01 Rs_int= 1.746
 S02   .949                                        Global sig2   .00000
 Curved wave amplitude ratio filter   4.000%
    file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
    7770.359     49.828   3.800  8.80175E-01  9.93228E-01 -1.12775E-01
    7771.816     51.285   3.850  8.74626E-01  9.93373E-01 -1.18392E-01
    7773.292     52.762   3.900  8.74444E-01  9.93519E-01 -1.18656E-01
    7774.788     54.257   3.950  8.78548E-01  9.93664E-01 -1.14649E-01
    7776.302     55.772   4.000  8.85732E-01  9.93810E-01 -1.07581E-01
    7777.836     57.305   4.050  8.96077E-01  9.93825E-01 -9.72449E-02
    7779.388     58.858   4.100  9.07612E-01  9.93841E-01 -8.57350E-02
    7780.960     60.429   4.150  9.19553E-01  9.93856E-01 -7.38359E-02
    7782.550     62.020   4.200  9.31540E-01  9.93872E-01 -6.19046E-02
    7784.160     63.630   4.250  9.44409E-01  9.94092E-01 -4.93153E-02
    7785.789     65.258   4.300  9.57359E-01  9.94311E-01 -3.66596E-02
    7787.437     66.906   4.350  9.70937E-01  9.94531E-01 -2.33951E-02
    7789.104     68.573   4.400  9.85799E-01  9.94750E-01 -8.87138E-03
    7790.790     70.259   4.450  1.00245E+00  9.95030E-01  7.35383E-03
    7792.495     71.964   4.500  1.02111E+00  9.95310E-01  2.55482E-02
    7794.219     73.688   4.550  1.04181E+00  9.95590E-01  4.57440E-02
    7795.962     75.431   4.600  1.06411E+00  9.95870E-01  6.75014E-02
    7797.724     77.193   4.650  1.08666E+00  9.96006E-01  8.96486E-02
    7799.505     78.974   4.700  1.10842E+00  9.96142E-01  1.10991E-01
    7801.305     80.775   4.750  1.12766E+00  9.96278E-01  1.29841E-01
    7803.124     82.594   4.800  1.14252E+00  9.96414E-01  1.44347E-01
    7804.963     84.432   4.850  1.15095E+00  9.96536E-01  1.52536E-01
    7806.820     86.290   4.900  1.15163E+00  9.96657E-01  1.53064E-01
    7808.696     88.166   4.950  1.14359E+00  9.96778E-01  1.44975E-01
    7810.592     90.061   5.000  1.12659E+00  9.96899E-01  1.28047E-01
    7812.506     91.976   5.050  1.10071E+00  9.96870E-01  1.02526E-01
    7814.440     93.910   5.100  1.06795E+00  9.96840E-01  7.02049E-02
    7816.393     95.862   5.150  1.03055E+00  9.96811E-01  3.33081E-02
    7818.364     97.834   5.200  9.91283E-01  9.96781E-01 -5.42805E-03
    7820.355     99.825   5.250  9.52678E-01  9.96559E-01 -4.33337E-02
    7822.365    101.834   5.300  9.18232E-01  9.96337E-01 -7.71526E-02
    7824.394    103.863   5.350  8.90300E-01  9.96114E-01 -1.04553E-01
    7826.441    105.911   5.400  8.70412E-01  9.95892E-01 -1.24019E-01
    7828.508    107.978   5.450  8.59151E-01  9.95486E-01 -1.34810E-01
    7830.594    110.064   5.500  8.56108E-01  9.95080E-01 -1.37481E-01
    7832.699    112.169   5.550  8.59834E-01  9.94674E-01 -1.33456E-01
    7834.823    114.293   5.600  8.68291E-01  9.94268E-01 -1.24741E-01
    7836.967    116.436   5.650  8.79390E-01  9.93661E-01 -1.13220E-01
    7839.129    118.598   5.700  8.90941E-01  9.93055E-01 -1.01238E-01
    7841.310    120.779   5.750  9.01592E-01  9.92448E-01 -9.01326E-02
    7843.510    122.980   5.800  9.10938E-01  9.91842E-01 -8.03087E-02
    7845.730    125.199   5.850  9.19525E-01  9.91104E-01 -7.11123E-02
    7847.968    127.437   5.900  9.28874E-01  9.90366E-01 -6.11428E-02
    7850.225    129.695   5.950  9.41082E-01  9.89628E-01 -4.83116E-02
    7852.502    131.971   6.000  9.58276E-01  9.88890E-01 -3.04921E-02
    7854.797    134.267   6.050  9.81969E-01  9.87984E-01 -5.99703E-03
    7857.112    136.581   6.100  1.01277E+00  9.87078E-01  2.56439E-02
    7859.445    138.915   6.150  1.04969E+00  9.86173E-01  6.34666E-02
    7861.798    141.268   6.200  1.09014E+00  9.85267E-01  1.04900E-01
    7864.170    143.639   6.250  1.13014E+00  9.84361E-01  1.45961E-01
    7866.561    146.030   6.300  1.16478E+00  9.83456E-01  1.81746E-01
    7868.970    148.440   6.350  1.18901E+00  9.82550E-01  2.07153E-01
    7871.399    150.869   6.400  1.19840E+00  9.81644E-01  2.17713E-01
    7873.847    153.317   6.450  1.18999E+00  9.80739E-01  2.10399E-01
    7876.314    155.784   6.500  1.16289E+00  9.79833E-01  1.84261E-01
    7878.800    158.270   6.550  1.11799E+00  9.78880E-01  1.40189E-01
    7881.305    160.775   6.600  1.05982E+00  9.77927E-01  8.26292E-02
    7883.829    163.299   6.650  9.94387E-01  9.76974E-01  1.75905E-02
    7886.373    165.842   6.700  9.28800E-01  9.76021E-01 -4.77588E-02
    7888.935    168.404   6.750  8.70264E-01  9.75068E-01 -1.06125E-01
    7891.516    170.985   6.800  8.25009E-01  9.74115E-01 -1.51167E-01
    7894.116    173.586   6.850  7.97368E-01  9.73162E-01 -1.78438E-01
    7896.736    176.205   6.900  7.89151E-01  9.72209E-01 -1.86035E-01
    7899.374    178.844   6.950  7.99427E-01  9.71256E-01 -1.74834E-01
    7902.032    181.501   7.000  8.24745E-01  9.70303E-01 -1.48281E-01
    7904.708    184.178   7.050  8.60021E-01  9.69421E-01 -1.11586E-01
    7907.404    186.873   7.100  8.98625E-01  9.68538E-01 -7.13996E-02
    7910.118    189.588   7.150  9.34307E-01  9.67655E-01 -3.40997E-02
    7912.852    192.321   7.200  9.62009E-01  9.66772E-01 -4.87707E-03
    7915.605    195.074   7.250  9.78644E-01  9.65889E-01  1.30751E-02
    7918.376    197.846   7.300  9.83514E-01  9.65007E-01  1.89961E-02
    7921.167    200.637   7.350  9.78276E-01  9.64124E-01  1.45446E-02
    7923.977    203.447   7.400  9.66499E-01  9.63241E-01  3.35213E-03
    7926.806    206.275   7.450  9.52880E-01  9.62358E-01 -9.76555E-03
    7929.654    209.123   7.500  9.42293E-01  9.61475E-01 -1.97885E-02
    7932.521    211.990   7.550  9.38981E-01  9.60555E-01 -2.22861E-02
    7935.407    214.876   7.600  9.45358E-01  9.59634E-01 -1.47671E-02
    7938.312    217.782   7.650  9.61820E-01  9.58713E-01  3.21897E-03
    7941.236    220.706   7.700  9.86613E-01  9.57792E-01  2.98966E-02
    7944.180    223.649   7.750  1.01617E+00  9.56871E-01  6.15984E-02
    7947.142    226.611   7.800  1.04578E+00  9.55950E-01  9.34418E-02
    7950.123    229.593   7.850  1.07044E+00  9.55030E-01  1.20214E-01
    7953.123    232.593   7.900  1.08574E+00  9.54109E-01  1.37299E-01
    7956.143    235.612   7.950  1.08863E+00  9.53188E-01  1.41474E-01
    7959.181    238.651   8.000  1.07793E+00  9.52267E-01  1.31445E-01
    7962.239    241.708   8.050  1.05425E+00  9.51282E-01  1.07852E-01
    7965.315    244.785   8.100  1.02049E+00  9.50296E-01  7.36218E-02
    7968.411    247.880   8.150  9.80659E-01  9.49311E-01  3.29264E-02
    7971.526    250.995   8.200  9.39405E-01  9.48325E-01 -9.38213E-03
    7974.659    254.129   8.250  9.01237E-01  9.47340E-01 -4.85593E-02
    7977.812    257.282   8.300  8.69856E-01  9.46355E-01 -8.06863E-02
    7980.984    260.453   8.350  8.47666E-01  9.45369E-01 -1.03195E-01
    7984.175    263.644   8.400  8.35547E-01  9.44384E-01 -1.15115E-01
    7987.385    266.854   8.450  8.32928E-01  9.43398E-01 -1.17008E-01
    7990.614    270.083   8.500  8.38108E-01  9.42413E-01 -1.10631E-01
    7993.862    273.331   8.550  8.48615E-01  9.41363E-01 -9.84957E-02
    7997.129    276.598   8.600  8.62144E-01  9.40314E-01 -8.31169E-02
    8000.415    279.884   8.650  8.76634E-01  9.39265E-01 -6.66769E-02
    8003.720    283.190   8.700  8.90687E-01  9.38215E-01 -5.06611E-02
    8007.044    286.514   8.750  9.03680E-01  9.37166E-01 -3.57378E-02
    8010.388    289.857   8.800  9.15671E-01  9.36117E-01 -2.18480E-02
    8013.750    293.219   8.850  9.27162E-01  9.35067E-01 -8.45796E-03
    8017.131    296.601   8.900  9.38777E-01  9.34018E-01  5.09871E-03
    8020.532    300.001   8.950  9.50945E-01  9.32968E-01  1.92816E-02
    8023.951    303.421   9.000  9.63661E-01  9.31919E-01  3.40888E-02
    8027.390    306.859   9.050  9.76571E-01  9.30857E-01  4.91432E-02
    8030.847    310.317   9.100  9.88496E-01  9.29796E-01  6.31690E-02
    8034.324    313.793   9.150  9.98062E-01  9.28734E-01  7.46825E-02
    8037.819    317.289   9.200  1.00389E+00  9.27672E-01  8.21886E-02
    8041.334    320.804   9.250  1.00490E+00  9.26611E-01  8.45120E-02
    8044.868    324.337   9.300  1.00057E+00  9.25549E-01  8.10686E-02
    8048.421    327.890   9.350  9.91065E-01  9.24487E-01  7.20169E-02
    8051.993    331.462   9.400  9.77226E-01  9.23426E-01  5.82561E-02
    8055.583    335.053   9.450  9.60440E-01  9.22364E-01  4.12720E-02
    8059.193    338.663   9.500  9.42380E-01  9.21303E-01  2.28706E-02
    8062.822    342.292   9.550  9.24691E-01  9.20284E-01  4.78655E-03
    8066.470    345.940   9.600  9.08806E-01  9.19265E-01 -1.13699E-02
    8070.138    349.607   9.650  8.95632E-01  9.18246E-01 -2.46075E-02
    8073.824    353.293   9.700  8.85473E-01  9.17227E-01 -3.45854E-02
    8077.529    356.998   9.750  8.78090E-01  9.16208E-01 -4.15565E-02
    8081.253    360.723   9.800  8.72870E-01  9.15189E-01 -4.61807E-02
    8084.997    364.466   9.850  8.69073E-01  9.14170E-01 -4.92587E-02
    8088.759    368.228   9.900  8.66088E-01  9.13151E-01 -5.14556E-02
    8092.540    372.010   9.950  8.63627E-01  9.12132E-01 -5.30826E-02
    8096.341    375.810  10.000  8.61824E-01  9.11113E-01 -5.39920E-02
    8100.160    379.630  10.050  8.61207E-01  9.10273E-01 -5.38073E-02
    8103.999    383.468  10.100  8.62463E-01  9.09433E-01 -5.15655E-02
    8107.856    387.326  10.150  8.66447E-01  9.08594E-01 -4.63202E-02
    8111.733    391.203  10.200  8.73779E-01  9.07754E-01 -3.73799E-02
    8115.629    395.098  10.250  8.84588E-01  9.06914E-01 -2.45910E-02
    8119.544    399.013  10.300  8.98351E-01  9.06074E-01 -8.51569E-03
    8123.477    402.947  10.350  9.13883E-01  9.05234E-01  9.54714E-03
    8127.430    406.900  10.400  9.29473E-01  9.04394E-01  2.77148E-02
    8131.402    410.872  10.450  9.43166E-01  9.03554E-01  4.38235E-02
    8135.393    414.863  10.500  9.53115E-01  9.02714E-01  5.58220E-02
    8139.403    418.873  10.550  9.57946E-01  9.01874E-01  6.21716E-02
    8143.432    422.902  10.600  9.57039E-01  9.01035E-01  6.21672E-02
    8147.480    426.950  10.650  9.50681E-01  9.00195E-01  5.61035E-02
    8151.547    431.017  10.700  9.40025E-01  8.99355E-01  4.52457E-02
    8155.634    435.103  10.750  9.26890E-01  8.98515E-01  3.16029E-02
    8159.739    439.208  10.800  9.13413E-01  8.97675E-01  1.75480E-02
    8163.863    443.333  10.850  9.01634E-01  8.96835E-01  5.35713E-03
    8168.007    447.476  10.900  8.93102E-01  8.95995E-01 -3.23319E-03
    8172.169    451.638  10.950  8.88575E-01  8.95155E-01 -7.36124E-03
    8176.350    455.820  11.000  8.87892E-01  8.94315E-01 -7.19455E-03
    8180.551    460.020  11.050  8.89772E-01  8.93286E-01 -3.94055E-03
    8184.770    464.240  11.100  8.92877E-01  8.92256E-01  6.96776E-04
    8189.009    468.479  11.150  8.95284E-01  8.91227E-01  4.56245E-03
    8193.267    472.736  11.200  8.95204E-01  8.90197E-01  5.63796E-03
    8197.543    477.013  11.250  8.91388E-01  8.89168E-01  2.50324E-03
    8201.839    481.309  11.300  8.83429E-01  8.88138E-01 -5.31688E-03
    8206.154    485.623  11.350  8.71898E-01  8.87108E-01 -1.71960E-02
    8210.488    489.957  11.400  8.58276E-01  8.86079E-01 -3.14755E-02
    8214.841    494.310  11.450  8.44693E-01  8.85049E-01 -4.57493E-02
    8219.213    498.682  11.500  8.33534E-01  8.84020E-01 -5.73103E-02
    8223.604    503.073  11.550  8.26977E-01  8.82990E-01 -6.36708E-02
    8228.014    507.483  11.600  8.26565E-01  8.81961E-01 -6.30544E-02
    8232.443    511.912  11.650  8.32886E-01  8.80931E-01 -5.47623E-02
    8236.891    516.361  11.700  8.45433E-01  8.79901E-01 -3.93412E-02
    8241.358    520.828  11.750  8.62666E-01  8.78872E-01 -1.85219E-02
    8245.845    525.314  11.800  8.82265E-01  8.77842E-01  5.06166E-03
    8250.350    529.819  11.850  9.01519E-01  8.76813E-01  2.83146E-02
    8254.874    534.344  11.900  9.17786E-01  8.75783E-01  4.82021E-02
    8259.418    538.887  11.950  9.28922E-01  8.74754E-01  6.22495E-02
    8263.980    543.450  12.000  9.33623E-01  8.73724E-01  6.89290E-02
    8268.562    548.031  12.050  9.31491E-01  8.72377E-01  6.81228E-02
    8273.162    552.632  12.100  9.23233E-01  8.71031E-01  6.02439E-02
    8277.782    557.251  12.150  9.10328E-01  8.69684E-01  4.69718E-02
    8282.420    561.890  12.200  8.94794E-01  8.68337E-01  3.06193E-02
    8287.078    566.548  12.250  8.78811E-01  8.66990E-01  1.37000E-02
    8291.755    571.224  12.300  8.64345E-01  8.65644E-01 -1.50784E-03
    8296.451    575.920  12.350  8.52839E-01  8.64297E-01 -1.33180E-02
    8301.166    580.635  12.400  8.45033E-01  8.62950E-01 -2.08559E-02
    8305.899    585.369  12.450  8.40923E-01  8.61604E-01 -2.41078E-02
    8310.652    590.122  12.500  8.39864E-01  8.60257E-01 -2.38068E-02
    8315.424    594.894  12.550  8.40785E-01  8.58910E-01 -2.11895E-02
    8320.215    599.685  12.600  8.42459E-01  8.57563E-01 -1.76833E-02
    8325.026    604.495  12.650  8.43773E-01  8.56217E-01 -1.45902E-02
    8329.855    609.324  12.700  8.43942E-01  8.54870E-01 -1.28312E-02
    8334.703    614.172  12.750  8.42642E-01  8.53523E-01 -1.27947E-02
    8339.570    619.040  12.800  8.40023E-01  8.52177E-01 -1.43119E-02
    8344.456    623.926  12.850  8.36627E-01  8.50830E-01 -1.67501E-02
    8349.362    628.831  12.900  8.33229E-01  8.49483E-01 -1.91963E-02
    8354.286    633.756  12.950  8.30649E-01  8.48136E-01 -2.06839E-02
    8359.230    638.699  13.000  8.29556E-01  8.46790E-01 -2.04139E-02
    8364.192    643.662  13.050  8.30678E-01  8.45795E-01 -1.79346E-02
    8369.174    648.643  13.100  8.33729E-01  8.44801E-01 -1.31565E-02
    8374.174    653.644  13.150  8.38376E-01  8.43807E-01 -6.46388E-03
    8379.194    658.663  13.200  8.44000E-01  8.42813E-01  1.41578E-03
    8384.233    663.702  13.250  8.49825E-01  8.41818E-01  9.55846E-03
    8389.290    668.760  13.300  8.55055E-01  8.40824E-01  1.70157E-02
    8394.367    673.837  13.350  8.59015E-01  8.39830E-01  2.29760E-02
    8399.463    678.933  13.400  8.61248E-01  8.38836E-01  2.68844E-02
    8404.578    684.047  13.450  8.61565E-01  8.37841E-01  2.85024E-02
    8409.712    689.181  13.500  8.60035E-01  8.36847E-01  2.79033E-02
    8414.865    694.334  13.550  8.56938E-01  8.35853E-01  2.54131E-02
    8420.037    699.506  13.600  8.52682E-01  8.34859E-01  2.15156E-02
    8425.228    704.698  13.650  8.47716E-01  8.33864E-01  1.67478E-02
    8430.438    709.908  13.700  8.42454E-01  8.32870E-01  1.16070E-02
    8435.667    715.137  13.750  8.37224E-01  8.31876E-01  6.48719E-03
    8440.916    720.385  13.800  8.32241E-01  8.30882E-01  1.65224E-03
    8446.183    725.652  13.850  8.27623E-01  8.29887E-01 -2.75528E-03
    8451.469    730.939  13.900  8.23412E-01  8.28893E-01 -6.68050E-03
    8456.775    736.244  13.950  8.19616E-01  8.27899E-01 -1.01114E-02
    8462.099    741.569  14.000  8.16242E-01  8.26904E-01 -1.30375E-02
    8467.443    746.912  14.050  8.13302E-01  8.25962E-01 -1.55072E-02
    8472.805    752.275  14.100  8.10853E-01  8.25020E-01 -1.73831E-02
    8478.187    757.656  14.150  8.08978E-01  8.24078E-01 -1.85592E-02
    8483.588    763.057  14.200  8.07759E-01  8.23136E-01 -1.89326E-02
    8489.007    768.477  14.250  8.07245E-01  8.22194E-01 -1.84370E-02
    8494.446    773.915  14.300  8.07436E-01  8.21252E-01 -1.70687E-02
    8499.904    779.373  14.350  8.08271E-01  8.20310E-01 -1.48989E-02
    8505.381    784.850  14.400  8.09635E-01  8.19368E-01 -1.20659E-02
