# name:     iron                                                 Feff 8.20   
# formula:  Fe
# sites:    Fe1
# refer1:   Kittel, ISSP
# refer2:
# schoen:
# notes1:   metal, bcc
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.347 Rnm= 1.395 K  shell
# Pot 1 Z=26 Rmt= 1.358 Rnm= 1.408
# Gam_ch=1.309E+00 H-L exch Vi= 2.000E+00 Vr= 0.000E+00
# Mu=-5.451E+00 kf=2.045E+00 Vint=-2.138E+01 Rs_int= 1.773
# PATH  Rmax= 5.468,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.944                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      8.00     2   2.4855
#           2       0.00000     51.86      6.00     2   2.8700
#           3       0.00000     13.22     48.00     3   3.9205
#           4       0.00000     39.56     12.00     2   4.0588
#           5       0.00000      4.94     24.00     3   4.5149
#           6       0.00000     12.37     48.00     3   4.5149
#           7       0.00000     48.97     24.00     2   4.7594
#           8       0.00000      6.29     48.00     3   4.8994
#           9       0.00000     14.25      8.00     2   4.9710
#          10       0.00000      6.67      8.00     3   4.9710
#          11       0.00000     45.94     16.00     3   4.9710
#          12       0.00000      9.75      8.00     4   4.9710
#          14       0.00000     41.22      8.00     4   4.9710
#          15       0.00000     11.17     48.00     3   5.0574
#          16       0.00000     12.24     48.00     3   5.0574
#          17       0.00000     12.37     48.00     3   5.0574
#    16/  18 paths used
#  xsedge+50, used to normalize mu           3.2002E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7268.555    145.767   6.300  9.86379E-01  9.71809E-01  1.47127E-02
    7270.965    148.177   6.350  1.00891E+00  9.70870E-01  3.84640E-02
    7273.393    150.606   6.400  1.03504E+00  9.69932E-01  6.59170E-02
    7275.841    153.054   6.450  1.06108E+00  9.68993E-01  9.33520E-02
    7278.308    155.521   6.500  1.08280E+00  9.68055E-01  1.16478E-01
    7280.794    158.007   6.550  1.09576E+00  9.67107E-01  1.30771E-01
    7283.299    160.512   6.600  1.09715E+00  9.66158E-01  1.33329E-01
    7285.824    163.036   6.650  1.08585E+00  9.65210E-01  1.22962E-01
    7288.367    165.579   6.700  1.06270E+00  9.64262E-01  1.00477E-01
    7290.929    168.142   6.750  1.03040E+00  9.63314E-01  6.85700E-02
    7293.510    170.723   6.800  9.93010E-01  9.62366E-01  3.13641E-02
    7296.111    173.323   6.850  9.55254E-01  9.61418E-01 -6.31761E-03
    7298.730    175.943   6.900  9.21687E-01  9.60470E-01 -3.98038E-02
    7301.368    178.581   6.950  8.95900E-01  9.59521E-01 -6.53883E-02
    7304.026    181.238   7.000  8.79923E-01  9.58573E-01 -8.09465E-02
    7306.702    183.915   7.050  8.74165E-01  9.57703E-01 -8.60953E-02
    7309.398    186.611   7.100  8.76769E-01  9.56832E-01 -8.26278E-02
    7312.112    189.325   7.150  8.84735E-01  9.55962E-01 -7.36098E-02
    7314.846    192.059   7.200  8.94468E-01  9.55091E-01 -6.27375E-02
    7317.599    194.811   7.250  9.02594E-01  9.54221E-01 -5.35016E-02
    7320.371    197.583   7.300  9.06697E-01  9.53350E-01 -4.84146E-02
    7323.161    200.374   7.350  9.05847E-01  9.52480E-01 -4.84597E-02
    7325.971    203.184   7.400  9.00799E-01  9.51609E-01 -5.28749E-02
    7328.800    206.013   7.450  8.93814E-01  9.50738E-01 -5.93198E-02
    7331.648    208.861   7.500  8.88161E-01  9.49868E-01 -6.43929E-02
    7334.515    211.728   7.550  8.87546E-01  9.48973E-01 -6.41926E-02
    7337.401    214.614   7.600  8.94969E-01  9.48079E-01 -5.55805E-02
    7340.306    217.519   7.650  9.12007E-01  9.47185E-01 -3.68664E-02
    7343.231    220.443   7.700  9.38383E-01  9.46290E-01 -8.29893E-03
    7346.174    223.386   7.750  9.71837E-01  9.45396E-01  2.77900E-02
    7349.136    226.349   7.800  1.00840E+00  9.44501E-01  6.72563E-02
    7352.117    229.330   7.850  1.04302E+00  9.43607E-01  1.04788E-01
    7355.118    232.330   7.900  1.07043E+00  9.42712E-01  1.34808E-01
    7358.137    235.350   7.950  1.08606E+00  9.41818E-01  1.52470E-01
    7361.176    238.388   8.000  1.08692E+00  9.40923E-01  1.54549E-01
    7364.233    241.446   8.050  1.07193E+00  9.39965E-01  1.39871E-01
    7367.310    244.522   8.100  1.04279E+00  9.39006E-01  1.10149E-01
    7370.405    247.618   8.150  1.00324E+00  9.38048E-01  6.92754E-02
    7373.520    250.733   8.200  9.58506E-01  9.37089E-01  2.27885E-02
    7376.654    253.866   8.250  9.14493E-01  9.36131E-01 -2.30531E-02
    7379.806    257.019   8.300  8.76762E-01  9.35172E-01 -6.23134E-02
    7382.978    260.191   8.350  8.49632E-01  9.34214E-01 -9.03501E-02
    7386.169    263.382   8.400  8.35521E-01  9.33255E-01 -1.04536E-01
    7389.379    266.592   8.450  8.34624E-01  9.32297E-01 -1.04606E-01
    7392.608    269.821   8.500  8.45016E-01  9.31338E-01 -9.25701E-02
    7395.856    273.069   8.550  8.62923E-01  9.30272E-01 -7.23035E-02
    7399.123    276.336   8.600  8.84009E-01  9.29205E-01 -4.85746E-02
    7402.409    279.622   8.650  9.03780E-01  9.28139E-01 -2.62080E-02
    7405.714    282.927   8.700  9.18563E-01  9.27072E-01 -9.16562E-03
    7409.038    286.251   8.750  9.26142E-01  9.26006E-01  1.46923E-04
    7412.382    289.594   8.800  9.26090E-01  9.24939E-01  1.24261E-03
    7415.744    292.957   8.850  9.19734E-01  9.23873E-01 -4.47238E-03
    7419.125    296.338   8.900  9.09779E-01  9.22806E-01 -1.40943E-02
    7422.526    299.738   8.950  8.99675E-01  9.21740E-01 -2.38990E-02
    7425.945    303.158   9.000  8.92859E-01  9.20673E-01 -3.01599E-02
    7429.384    306.596   9.050  8.92096E-01  9.19623E-01 -2.98792E-02
    7432.841    310.054   9.100  8.98722E-01  9.18572E-01 -2.15681E-02
    7436.318    313.531   9.150  9.12514E-01  9.17522E-01 -5.44675E-03
    7439.814    317.026   9.200  9.31674E-01  9.16472E-01  1.65523E-02
    7443.328    320.541   9.250  9.53174E-01  9.15421E-01  4.11465E-02
    7446.862    324.075   9.300  9.73331E-01  9.14371E-01  6.43271E-02
