     7.4500   -5.931982E-02  6.360225E-02  3.021419E+01
     7.5000   -6.439285E-02  7.433056E-02  3.036817E+01
     7.5500   -6.419262E-02  8.606466E-02  3.057409E+01
     7.6000   -5.558045E-02  9.789267E-02  3.081213E+01
     7.6500   -3.686637E-02  1.093045E-01  3.107190E+01
     7.7000   -8.298926E-03  1.199431E-01  3.134668E+01
     7.7500    2.779005E-02  1.295454E-01  3.163213E+01
     7.8000    6.725629E-02  1.379115E-01  3.192535E+01
     7.8500    1.047879E-01  1.448884E-01  3.222440E+01
     7.9000    1.348084E-01  1.503609E-01  3.252788E+01
     7.9500    1.524700E-01  1.542463E-01  3.283481E+01
     8.0000    1.545493E-01  1.564921E-01  3.314446E+01
     8.0500    1.398707E-01  1.569274E-01  3.345730E+01
     8.1000    1.101488E-01  1.556959E-01  3.377162E+01
     8.1500    6.927543E-02  1.528283E-01  3.408707E+01
     8.2000    2.278849E-02  1.483785E-01  3.440333E+01
     8.2500   -2.305311E-02  1.424216E-01  3.472010E+01
     8.3000   -6.231343E-02  1.350525E-01  3.503709E+01
     8.3500   -9.035009E-02  1.263841E-01  3.535398E+01
     8.4000   -1.045361E-01  1.165452E-01  3.567036E+01
     8.4500   -1.046059E-01  1.056786E-01  3.598571E+01
     8.5000   -9.257013E-02  9.393947E-02  3.629927E+01
     8.5500   -7.230348E-02  8.152998E-02  3.660867E+01
     8.6000   -4.857462E-02  6.859762E-02  3.691229E+01
     8.6500   -2.620805E-02  5.533253E-02  3.720569E+01
     8.7000   -9.165619E-03  4.195109E-02  3.747885E+01
     8.7500    1.469230E-04  2.874937E-02  3.770422E+01
     8.8000    1.242606E-03  1.640787E-02  3.777492E+01
     8.8500   -4.472379E-03  8.807055E-03  3.716646E+01
     8.9000   -1.409433E-02  1.498701E-02  3.647520E+01
     8.9500   -2.389903E-02  2.586696E-02  3.652091E+01
     9.0000   -3.015987E-02  3.685540E-02  3.674061E+01
     9.0500   -2.987918E-02  4.726461E-02  3.701476E+01
     9.1000   -2.156815E-02  5.684488E-02  3.730994E+01
     9.1500   -5.446746E-03  6.545976E-02  3.761581E+01
     9.2000    1.655234E-02  7.301369E-02  3.792780E+01
     9.2500    4.114647E-02  7.943720E-02  3.824359E+01
     9.3000    6.432711E-02  8.468200E-02  3.856186E+01
     9.3500    8.211981E-02  8.871902E-02  3.888177E+01
     9.4000    9.133128E-02  9.153739E-02  3.920279E+01
     9.4500    9.014122E-02  9.314367E-02  3.952450E+01
     9.5000    7.842946E-02  9.356106E-02  3.984660E+01
     9.5500    5.782179E-02  9.297031E-02  4.016949E+01
     9.6000    3.118688E-02  9.129107E-02  4.049206E+01
     9.6500    2.361273E-03  8.858476E-02  4.081405E+01
     9.7000   -2.464254E-02  8.492535E-02  4.113511E+01
     9.7500   -4.632932E-02  8.039828E-02  4.145483E+01
     9.8000   -6.029012E-02  7.509927E-02  4.177269E+01
     9.8500   -6.554557E-02  6.913323E-02  4.208793E+01
     9.9000   -6.260886E-02  6.261340E-02  4.239946E+01
     9.9500   -5.327004E-02  5.566104E-02  4.270567E+01
    10.0000   -4.015672E-02  4.840618E-02  4.300395E+01
    10.0500   -2.623277E-02  4.110451E-02  4.329014E+01
    10.1000   -1.397970E-02  3.378420E-02  4.355568E+01
    10.1500   -5.228282E-03  2.665902E-02  4.378490E+01
    10.2000   -7.482972E-04  2.007161E-02  4.394501E+01
    10.2500   -1.951367E-04  1.471356E-02  4.396903E+01
    10.3000   -2.292453E-03  1.200180E-02  4.379011E+01
    10.3500   -5.202004E-03  1.314211E-02  4.357533E+01
    10.4000   -6.995249E-03  1.689568E-02  4.355542E+01
    10.4500   -6.123257E-03  2.150029E-02  4.369350E+01
    10.5000   -1.785135E-03  2.610410E-02  4.391386E+01
    10.5500    5.880821E-03  3.034698E-02  4.417732E+01
    10.6000    1.581996E-02  3.405506E-02  4.446541E+01
    10.6500    2.628900E-02  3.713314E-02  4.476891E+01
    10.7000    3.523649E-02  3.952673E-02  4.508285E+01
    10.7500    4.075254E-02  4.120703E-02  4.540444E+01
    10.8000    4.149103E-02  4.216428E-02  4.573203E+01
    10.8500    3.697403E-02  4.240439E-02  4.606474E+01
    10.9000    2.771459E-02  4.194699E-02  4.640213E+01
    10.9500    1.513219E-02  4.082413E-02  4.674416E+01
    11.0000    1.279246E-03  3.907936E-02  4.709115E+01
    11.0500   -1.160646E-02  3.690421E-02  4.744382E+01
    11.1000   -2.150170E-02  3.422545E-02  4.780318E+01
    11.1500   -2.694637E-02  3.111155E-02  4.817128E+01
    11.2000   -2.736081E-02  2.764353E-02  4.855155E+01
    11.2500   -2.314586E-02  2.391989E-02  4.894978E+01
    11.3000   -1.558473E-02  2.006847E-02  4.937627E+01
    11.3500   -6.567904E-03  1.627532E-02  4.985009E+01
    11.4000    1.801800E-03  1.285488E-02  5.040611E+01
    11.4500    7.642998E-03  1.038598E-02  5.109247E+01
    11.5000    9.679610E-03  9.697340E-03  5.189676E+01
    11.5500    7.497129E-03  1.106065E-02  5.266228E+01
